Container Job,T_j,Source,Destination
1440,00:01:00,Block 13,W/P 1
720,00:01:00,Block 2,W/P 6
2160,00:01:00,Block 2,W/P 2
2880,00:01:00,W/P 1,Block 22
1,00:02:00,Block 9,W/P 6
1441,00:03:00,Block 11,W/P 3
721,00:03:00,W/P 6,Block 31
2161,00:03:00,Block 6,W/P 2
2881,00:03:00,Block 3,W/P 3
2,00:04:00,Block 3,W/P 5
722,00:05:00,Block 26,W/P 7
2162,00:05:00,Block 12,W/P 4
2882,00:05:00,Block 26,W/P 7
1442,00:05:00,W/P 2,Block 17
3,00:06:00,Block 28,W/P 5
2163,00:07:00,Block 18,W/P 7
1443,00:07:00,Block 15,W/P 1
2883,00:07:00,Block 4,W/P 5
723,00:07:00,Block 8,W/P 4
4,00:08:00,Block 31,W/P 3
2164,00:09:00,Block 14,W/P 7
2884,00:09:00,W/P 6,Block 14
724,00:09:00,Block 7,W/P 5
1444,00:09:00,Block 23,W/P 4
5,00:10:00,Block 29,W/P 3
2885,00:11:00,W/P 2,Block 31
725,00:11:00,Block 1,W/P 7
1445,00:11:00,Block 17,W/P 3
2165,00:11:00,Block 16,W/P 4
6,00:12:00,Block 24,W/P 6
2166,00:13:00,W/P 2,Block 20
1446,00:13:00,Block 28,W/P 6
726,00:13:00,Block 18,W/P 1
2886,00:13:00,Block 25,W/P 4
7,00:14:00,W/P 6,Block 24
2887,00:15:00,Block 20,W/P 4
2167,00:15:00,Block 8,W/P 5
1447,00:15:00,W/P 2,Block 30
727,00:15:00,W/P 7,Block 26
8,00:16:00,Block 11,W/P 6
2168,00:17:00,Block 1,W/P 3
2888,00:17:00,Block 20,W/P 1
1448,00:17:00,Block 1,W/P 2
728,00:17:00,Block 32,W/P 4
9,00:18:00,Block 31,W/P 7
2169,00:19:00,Block 12,W/P 3
2889,00:19:00,Block 22,W/P 5
1449,00:19:00,Block 3,W/P 4
729,00:19:00,Block 7,W/P 5
10,00:20:00,Block 27,W/P 5
730,00:21:00,Block 25,W/P 7
2890,00:21:00,W/P 2,Block 3
1450,00:21:00,Block 5,W/P 6
2170,00:21:00,Block 10,W/P 3
11,00:22:00,Block 26,W/P 7
731,00:23:00,Block 10,W/P 2
2171,00:23:00,Block 3,W/P 4
2891,00:23:00,Block 2,W/P 4
1451,00:23:00,Block 26,W/P 5
12,00:24:00,Block 26,W/P 2
2892,00:25:00,Block 10,W/P 7
1452,00:25:00,W/P 1,Block 5
2172,00:25:00,Block 3,W/P 6
732,00:25:00,Block 13,W/P 6
13,00:26:00,Block 20,W/P 5
733,00:27:00,Block 6,W/P 7
2893,00:27:00,Block 11,W/P 1
2173,00:27:00,Block 3,W/P 4
1453,00:27:00,Block 1,W/P 6
14,00:28:00,Block 11,W/P 2
1454,00:29:00,Block 25,W/P 7
2894,00:29:00,Block 12,W/P 7
734,00:29:00,Block 12,W/P 5
2174,00:29:00,Block 5,W/P 2
15,00:30:00,Block 17,W/P 7
1455,00:31:00,Block 25,W/P 2
2895,00:31:00,Block 20,W/P 1
735,00:31:00,Block 25,W/P 2
2175,00:31:00,Block 1,W/P 5
16,00:32:00,Block 26,W/P 2
2896,00:33:00,Block 21,W/P 5
